JUNGLESCOUT KEYWORD LIST CSV EXPORT 
Report Generated at: Fri Aug 23 2024 12:40:29 GMT+0200 (Central European Summer Time)
Report Generated at: lampe exterieur rechargeable

Keyword, Exact Search Volume, Broad Search Volume, Search Trend, Category, Recommended Promotions, PPC Bid, PPC Bid, Ease to Rank, Search Trend, Organic Product Count, Sponsored Product Count
lampe sans fil ,"5207","63516","27%","Luminaires & Eclairage","31","---","---",Easy,"-40%","3000","---"
lampe de table rechargeable ,"2142","11782","23%","Luminaires & Eclairage","16","---","---",Easy,"16%","50000","---"
lampes de table ,"6857","9477","5%","Luminaires & Eclairage","4","€1.61","€1.61",Moderate,"-26%","50000","---"
lampe de table solaire ,"2046","4167","24%","Luminaires & Eclairage","6","---","---",Somewhat Difficult,"89%","5000","---"
lampe de table ,"9021","53282","5%","Luminaires & Eclairage","17","€1.04","€1.04",Very Difficult,"-5%","4000","---"
lumisky ,"2834","4428","4%","Luminaires & Eclairage","9","---","€0.51",Easy,"58%","367","---"
lampe led exterieur ,"3137","8107","15%","Luminaires & Eclairage","17","---","---",Easy,"19%","20000","---"
lampe sans fil rechargeable ,"4077","14329","32%","Luminaires & Eclairage","27","---","---",Easy,"-15%","4000","---"
lampe de table sans fil rechargeable ,"5220","6658","-2%","Luminaires & Eclairage","12","---","---",Moderate,"29%","30000","---"
lampe led rechargeable ,"9015","20442","0%","Luminaires & Eclairage","32","---","---",Moderate,"-15%","3000","---"
lampe de table exterieur ,"5215","12862","51%","Luminaires & Eclairage","16","---","---",Easy,"82%","20000","---"
lampe led sans fil ,"3605","7253","-1%","Luminaires & Eclairage","48","---","---",Easy,"-31%","4000","---"
lampe rechargeable usb ,"3718","8147","20%","Luminaires & Eclairage","42","---","---",Easy,"-11%","635","---"
lampe exterieur ,"14199","189124","12%","Luminaires & Eclairage","34","---","---",Easy,"11%","40000","---"
lampe rechargeable ,"5621","72817","1%","Luminaires & Eclairage","13","---","---",Easy,"-11%","3000","---"
lampe de table sans fil ,"14915","23443","63%","Luminaires & Eclairage","17","---","---",Somewhat Difficult,"21%","40000","---"
lampes de table d'extérieur ,"2620","3144","12%","Luminaires & Eclairage","11","---","---",Easy,"54%","3000","---"
lampe rechargeable exterieur ,"2847","3416","43%","Luminaires & Eclairage","12","---","---",Easy,"101%","10000","---"
lampe exterieur rechargeable ,"5407","8415","61%","Luminaires & Eclairage","16","---","---",Easy,"152%","4000","---"
lampe ,"20368","655484","1%","Luminaires & Eclairage","46","€0.80","€0.51",Very Difficult,"-15%","50000","---"
lampe table exterieur ,"2578","12862","48%","Luminaires & Eclairage","17","---","---",Easy,"83%","20000","---"
lampe exterieur led ,"892","1730","-14%","Luminaires & Eclairage","22","---","---",Easy,"-27%","7000","---"
lampe de table exterieur rechargeable ,"1060","2048","0%","Luminaires & Eclairage","16","---","---",Easy,"0%","3000","---"
decoration terrasse exterieur ,"1847","2216","-11%","Luminaires & Eclairage","18","---","---",Easy,"24%","2000","---"
sans fil ,"875","1253466","27%","Luminaires & Eclairage","1","---","€0.69",Very Difficult,"-23%","6000","---"
lampe table ,"981","53282","4%","Luminaires & Eclairage","15","---","€1.61",Easy,"2%","40000","---"
lampe nomade ,"976","2134","30%","Luminaires & Eclairage","15","---","---",Easy,"-14%","2000","---"
lampe terrasse exterieur ,"1225","1675","8%","Luminaires & Eclairage","31","---","---",Easy,"3%","20000","---"
lampe extérieur ,"1814","13661","1%","Luminaires & Eclairage","26","---","---",Easy,"16%","4000","---"
lampe jardin ,"1527","48458","-7%","Luminaires & Eclairage","28","---","---",Easy,"25%","4000","---"
lampe nomade exterieur ,"533","640","-1%","Luminaires & Eclairage","14","---","---",Easy,"0%","423","---"
table lamp ,"641","769","0%","Luminaires & Eclairage","29","€1.91","€1.91",Easy,"0%","50000","---"
fermob ,"1111","3306","-17%","Luminaires & Eclairage","7","---","---",Easy,"-17%","317","---"
lampe de table led rechargeable ,"787","1775","0%","Luminaires & Eclairage","12","---","---",Easy,"0%","50000","---"
lampe de table sans fil exterieur ,"< 450","540","0%","Luminaires & Eclairage","10","---","---",Easy,"0%","10000","---"
lampe table sans fil ,"970","23443","28%","Luminaires & Eclairage","6","---","---",Easy,"18%","50000","---"
lampe de table led ,"1492","3717","20%","Luminaires & Eclairage","13","---","---",Moderate,"-5%","10000","---"
led rechargeable ,"525","29137","29%","Luminaires & Eclairage","24","€2.71","€2.82",Somewhat Difficult,"-31%","4000","---"
lampe solaire exterieur a poser ,"1435","2294","-1%","Luminaires & Eclairage","18","---","---",Easy,"-7%","2000","---"
lampe extérieure ,"1208","5684","5%","Luminaires & Eclairage","36","---","---",Easy,"33%","4000","---"
lampe a poser sans fil ,"< 450","540","0%","Luminaires & Eclairage","6","---","---",Easy,"0%","8000","---"
lumisky exterieur ,"1144","1594","21%","Luminaires & Eclairage","12","---","---",Easy,"0%","842","---"
